BU_Designation,BU_Name,Product,Region,Year,Month,"Sum of Quantity","Sum of Order Total"
Growth,Energy,"Purple Pain",Midwest,2017,3,27,2835
Growth,Energy,"Purple Pain",Midwest,2017,8,34,3570
Growth,Energy,"Purple Pain",Midwest,2017,12,66,6930
Growth,Energy,"Purple Pain",Midwest,2018,1,131,13755
Growth,Energy,"Purple Pain",Midwest,2018,6,125,13125
Growth,Energy,"Purple Pain",Midwest,2018,12,209,21945
Growth,Energy,"Purple Pain",Midwest,2019,6,96,9072
Growth,Energy,"Purple Pain",Midwest,2019,9,68,7140
Growth,Energy,"Purple Pain",Midwest,2019,11,12,1260
Growth,Energy,"Purple Pain",Midwest,2019,12,65,6825
Growth,Energy,"Purple Pain",Northeast,2017,3,7,735
Growth,Energy,"Purple Pain",Northeast,2017,8,44,4620
Growth,Energy,"Purple Pain",Northeast,2018,4,101,10605
Growth,Energy,"Purple Pain",Northeast,2018,11,55,5775
Growth,Energy,"Purple Pain",Northeast,2019,3,3,315
Growth,Energy,"Purple Pain",South,2017,4,55,5775
Growth,Energy,"Purple Pain",South,2017,6,89,9345
Growth,Energy,"Purple Pain",South,2017,10,71,7455
Growth,Energy,"Purple Pain",South,2017,11,37,3885
Growth,Energy,"Purple Pain",South,2017,12,14,1470
Growth,Energy,"Purple Pain",South,2018,1,58,6090
Growth,Energy,"Purple Pain",South,2018,3,416,43680
Growth,Energy,"Purple Pain",South,2018,5,125,13125
Growth,Energy,"Purple Pain",South,2018,6,81,8505
Growth,Energy,"Purple Pain",South,2018,12,154,16170
Growth,Energy,"Purple Pain",South,2019,4,44,4620
Growth,Energy,"Purple Pain",South,2019,7,182,19110
Growth,Energy,"Purple Pain",South,2019,8,12,1260
Growth,Energy,"Purple Pain",South,2019,11,165,17325
Growth,Energy,"Purple Pain",South,2019,12,38,3990
Growth,Energy,"Purple Pain",West,2017,1,86,9030
Growth,Energy,"Purple Pain",West,2017,2,93,9765
Growth,Energy,"Purple Pain",West,2017,6,3,315
Growth,Energy,"Purple Pain",West,2017,8,7,735
Growth,Energy,"Purple Pain",West,2017,11,70,7350
Growth,Energy,"Purple Pain",West,2018,1,159,16695
Growth,Energy,"Purple Pain",West,2018,3,102,10710
Growth,Energy,"Purple Pain",West,2018,5,129,13545
Growth,Energy,"Purple Pain",West,2018,8,262,27510
Growth,Energy,"Purple Pain",West,2018,10,98,10290
Growth,Energy,"Purple Pain",West,2019,3,126,13230
Growth,Energy,"Purple Pain",West,2019,7,24,2520
